date,year,quarter_of_year,month_number,month_name,day_of_month,day_of_week_number,day_of_week_name,week_of_year,is_weekday
2018-10-20,2018,4,10,October,20,5,Saturday,42,False
2018-10-21,2018,4,10,October,21,6,Sunday,42,False
2018-10-22,2018,4,10,October,22,0,Monday,43,True
2018-10-23,2018,4,10,October,23,1,Tuesday,43,True
2018-10-24,2018,4,10,October,24,2,Wednesday,43,True
2018-10-25,2018,4,10,October,25,3,Thursday,43,True
2018-10-26,2018,4,10,October,26,4,Friday,43,True
2018-10-27,2018,4,10,October,27,5,Saturday,43,False
2018-10-28,2018,4,10,October,28,6,Sunday,43,False
2018-10-29,2018,4,10,October,29,0,Monday,44,True
2018-10-30,2018,4,10,October,30,1,Tuesday,44,True
2018-10-31,2018,4,10,October,31,2,Wednesday,44,True
2018-11-01,2018,4,11,November,1,3,Thursday,44,True
2018-11-02,2018,4,11,November,2,4,Friday,44,True
2018-11-03,2018,4,11,November,3,5,Saturday,44,False
2018-11-04,2018,4,11,November,4,6,Sunday,44,False
2018-11-05,2018,4,11,November,5,0,Monday,45,True
2018-11-06,2018,4,11,November,6,1,Tuesday,45,True
2018-11-07,2018,4,11,November,7,2,Wednesday,45,True
2018-11-08,2018,4,11,November,8,3,Thursday,45,True
2018-11-09,2018,4,11,November,9,4,Friday,45,True
2018-11-10,2018,4,11,November,10,5,Saturday,45,False
2018-11-11,2018,4,11,November,11,6,Sunday,45,False
2018-11-12,2018,4,11,November,12,0,Monday,46,True
2018-11-13,2018,4,11,November,13,1,Tuesday,46,True
2018-11-14,2018,4,11,November,14,2,Wednesday,46,True
2018-11-15,2018,4,11,November,15,3,Thursday,46,True
2018-11-16,2018,4,11,November,16,4,Friday,46,True
2018-11-17,2018,4,11,November,17,5,Saturday,46,False
2018-11-18,2018,4,11,November,18,6,Sunday,46,False
2018-11-19,2018,4,11,November,19,0,Monday,47,True
2018-11-20,2018,4,11,November,20,1,Tuesday,47,True
2018-11-21,2018,4,11,November,21,2,Wednesday,47,True
2018-11-22,2018,4,11,November,22,3,Thursday,47,True
2018-11-23,2018,4,11,November,23,4,Friday,47,True
2018-11-24,2018,4,11,November,24,5,Saturday,47,False
2018-11-25,2018,4,11,November,25,6,Sunday,47,False
2018-11-26,2018,4,11,November,26,0,Monday,48,True
2018-11-27,2018,4,11,November,27,1,Tuesday,48,True
2018-11-28,2018,4,11,November,28,2,Wednesday,48,True
2018-11-29,2018,4,11,November,29,3,Thursday,48,True
2018-11-30,2018,4,11,November,30,4,Friday,48,True
2018-12-01,2018,4,12,December,1,5,Saturday,48,False
2018-12-02,2018,4,12,December,2,6,Sunday,48,False
2018-12-03,2018,4,12,December,3,0,Monday,49,True
2018-12-04,2018,4,12,December,4,1,Tuesday,49,True
2018-12-05,2018,4,12,December,5,2,Wednesday,49,True
2018-12-06,2018,4,12,December,6,3,Thursday,49,True
2018-12-07,2018,4,12,December,7,4,Friday,49,True
2018-12-08,2018,4,12,December,8,5,Saturday,49,False
2018-12-09,2018,4,12,December,9,6,Sunday,49,False
2018-12-10,2018,4,12,December,10,0,Monday,50,True
2018-12-11,2018,4,12,December,11,1,Tuesday,50,True
2018-12-12,2018,4,12,December,12,2,Wednesday,50,True
2018-12-13,2018,4,12,December,13,3,Thursday,50,True
2018-12-14,2018,4,12,December,14,4,Friday,50,True
2018-12-15,2018,4,12,December,15,5,Saturday,50,False
2018-12-16,2018,4,12,December,16,6,Sunday,50,False
2018-12-17,2018,4,12,December,17,0,Monday,51,True
2018-12-18,2018,4,12,December,18,1,Tuesday,51,True
2018-12-19,2018,4,12,December,19,2,Wednesday,51,True
2018-12-20,2018,4,12,December,20,3,Thursday,51,True
2018-12-21,2018,4,12,December,21,4,Friday,51,True
2018-12-22,2018,4,12,December,22,5,Saturday,51,False
2018-12-23,2018,4,12,December,23,6,Sunday,51,False
2018-12-24,2018,4,12,December,24,0,Monday,52,True
2018-12-25,2018,4,12,December,25,1,Tuesday,52,True
2018-12-26,2018,4,12,December,26,2,Wednesday,52,True
2018-12-27,2018,4,12,December,27,3,Thursday,52,True
2018-12-28,2018,4,12,December,28,4,Friday,52,True
2018-12-29,2018,4,12,December,29,5,Saturday,52,False
2018-12-30,2018,4,12,December,30,6,Sunday,52,False
2018-12-31,2018,4,12,December,31,0,Monday,1,True
2019-01-01,2019,1,1,January,1,1,Tuesday,1,True
2019-01-02,2019,1,1,January,2,2,Wednesday,1,True
2019-01-03,2019,1,1,January,3,3,Thursday,1,True
2019-01-04,2019,1,1,January,4,4,Friday,1,True
2019-01-05,2019,1,1,January,5,5,Saturday,1,False
2019-01-06,2019,1,1,January,6,6,Sunday,1,False
2019-01-07,2019,1,1,January,7,0,Monday,2,True
2019-01-08,2019,1,1,January,8,1,Tuesday,2,True
2019-01-09,2019,1,1,January,9,2,Wednesday,2,True
2019-01-10,2019,1,1,January,10,3,Thursday,2,True
2019-01-11,2019,1,1,January,11,4,Friday,2,True
2019-01-12,2019,1,1,January,12,5,Saturday,2,False
2019-01-13,2019,1,1,January,13,6,Sunday,2,False
2019-01-14,2019,1,1,January,14,0,Monday,3,True
